# Справочник снаряжения Pocket Rogues, собран из файлов игры 1.38.3.1
#effects
E	0	ItemEffectArmor	Effects/ArmorEffects/1.23/Armor Effect - Add Dmg	Armor Effect - Add Dmg	Гнев	2 3 5 7 10	0	0	0	0			Базовый урон увеличен на {0} единицы	-1		Wrath	Base damage increased by {0} points	
E	1	ItemEffectArmor	Effects/ArmorEffects/1.23/Armor Effect - Add Dmg Persent	Armor Effect - Add Dmg Persent	Боевое Искусство	7 10 12 15 18	0	0	0	0			Увеличивает наносимый в бою урон на {0}%	-1		Martial Art	Increases damage done in combat by {0}%	
E	2	ItemEffectArmor	Effects/ArmorEffects/1.23/Armor Effect - Add HP	Armor Effect - Add HP	Искра Жизни	10 14 18 25 32	0	0	0	0			Ув. макс. запас ОЗ на {0} ед.	-1		Spark of Life	Increases max HP by {0} points	
E	3	ItemEffectArmor	Effects/ArmorEffects/1.23/Armor Effect - Add MP	Armor Effect - Add MP	Искра Магии	10 14 18 25 32	0	0	0	0			Ув. макс. запас ОМ на {0} ед.	-1		Spark of Magic	Increases max MP by {0} points	
E	4	ItemEffectArmor	Effects/ArmorEffects/1.23/Armor Effect - Add MP 0	Armor Effect - Add MP 0	Искра Магии	10 14 18 25 32	0	0	0	0			Ув. макс. запас ОМ на {0} ед.	-1		Spark of Magic	Increases max MP by {0} points	
E	5	ItemEffectArmor	Effects/ArmorEffects/1.23/Armor Effect - Bloodsucker	Armor Effect - Bloodsucker	Кровопийца	1 2 3 4 5	0	0	0	0			Находясь в обычной крови, персонаж восстанавливает {0} ОЗ/с за каждую лужу, на которой в этот момент стоит	-1		Bloodsucker	While standing in normal blood, the character restores {0} HP/s for each puddle they are standing on	
E	6	ItemEffectArmor	Effects/ArmorEffects/1.23/Armor Effect - Defence	Armor Effect - Defence	Защита	5 7 9 12 15	0	0	0	0			Весь физ. урон, получаемый персонажем, снижен на {0}%	-1		Defense	All physical damage taken by the character is reduced by {0}%	
E	7	ItemEffectArmor	Effects/ArmorEffects/1.23/Armor Effect - Speed in Battle	Armor Effect - Speed in Battle	Боевой Марш	12 14 17 21 25	0	0	0	0			Скорость передвижения увеличена на {0}% в бою	-1		Battle March	Movement speed increased by {0}% in combat	
E	8	ItemEffectArmor	Effects/ArmorEffects/1.23/Armor Effect - Speed out of Battle	Armor Effect - Speed out of Battle	Прогулка	12 14 17 21 25	0	0	0	0			Скорость передвижения увеличена на {0}% вне боя	-1		Stroll	Movement speed increased by {0}% outside combat	
E	9	ItemEffectArmor	Effects/ArmorEffects/1.23/Shield Effect - Arrow Mirror	Shield Effect - Arrow Mirror	Отражение Стрел	50 75 100 150 200	0	0	0	0			Блок щитом отбивает снаряды в направлении стрелявшего (с {0}% от их урона)	-1		Arrow Reflection	Shield block deflects projectiles toward the shooter (at {0}% of their damage)	
E	10	ItemEffectArmor	Effects/ArmorEffects/1.23/Shield Effect - Resist Arrows	Shield Effect - Resist Arrows	Башенный Щит	20 25 30 40 50	0	0	0	0			Защита от стрел на средней и большой дистанции увеличена на {0}%	-1		Tower Shield	Protection against arrows at medium and long range increased by {0}%	
E	11	ItemEffectArmor	Effects/ArmorEffects/1.27/AE CustomSkill Spec - Hide	AE CustomSkill Spec - Hide	Специальный навык	0 0 0 0 0	1	0	0	0			Заменяет специальный навык персонажа, пока надето	-1		Special Skill	Replaces character's special skill while equipped	
